"","topic","country","ngo","authorDisplayName","authorProfileImageUrl","authorChannelUrl","authorChannelId.value","channelId","textDisplay","textOriginal","canRate","viewerRating","likeCount","publishedAt","updatedAt"
"1","migration","pl","UC_ntaIWaLOutp-eUhcDrp8A","Mateo Holding bvba","https://yt3.ggpht.com/-4xZL6RZDWsw/AAAAAAAAAAI/AAAAAAAAAAA/m6PVv3avsQ0/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UCuiSIU9Eu2gvf-zfVtLP-lw","UCuiSIU9Eu2gvf-zfVtLP-lw","UC_ntaIWaLOutp-eUhcDrp8A","Banda faszystowskich świń !!!","Banda faszystowskich świń !!!","TRUE","none","1",2018-01-21 09:18:47,2018-01-21 09:18:47
"2","migration","pl","UC_ntaIWaLOutp-eUhcDrp8A","przemek fracisz","https://yt3.ggpht.com/--t_NZY3SFaI/AAAAAAAAAAI/AAAAAAAAAAA/A4j2b6LcuE0/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UCGzRTeP-KGgHcqwqS5S4uzA","UCGzRTeP-KGgHcqwqS5S4uzA","UC_ntaIWaLOutp-eUhcDrp8A","dobry nacjonalista to martwy nacjonalista <br />naszczam na wasze groby skórwysyny","dobry nacjonalista to martwy nacjonalista 
naszczam na wasze groby skórwysyny","TRUE","none","1",2017-07-14 21:45:22,2017-07-14 21:45:22
"3","migration","pl","UC_ntaIWaLOutp-eUhcDrp8A","Zoroark IllusionMaster","https://yt3.ggpht.com/-aT6yQc-Bi_w/AAAAAAAAAAI/AAAAAAAAAAA/GNiDwcc8rnQ/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UCEo-KBBVXdHYq3BJvFDH4Sw","UCEo-KBBVXdHYq3BJvFDH4Sw","UC_ntaIWaLOutp-eUhcDrp8A","ONR = Bradctwo NOD z seri C&amp;C","ONR = Bradctwo NOD z seri C&C","TRUE","none","1",2017-06-05 06:21:53,2017-06-05 06:21:53
"4","migration","pl","UC_ntaIWaLOutp-eUhcDrp8A","ROTA - ENDECY","https://yt3.ggpht.com/-mJt613_9D0M/AAAAAAAAAAI/AAAAAAAAAAA/XzI-j0g2S5Q/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UChegzqbPuIecebGcHeAtKNg","UChegzqbPuIecebGcHeAtKNg","UC_ntaIWaLOutp-eUhcDrp8A","PYTANIE PUBLICZNE DO MW I ONR: CHŁOPCY Z MW I ONR CZY PRZED BAZAMI OBCYCH WOJSK W POLSCE ORAZ W SĄDACH W SPRAWACH MIĘDLARA I RYBAKA TEŻ BĘDZIECIE TACY BOJOWI, LICZNI I AKTYWNI JAK WTEDY KIEDY LANSUJECIE SIĘ POD TEATREM POWSZECHNYM (ROBIĄC BYĆ MOŻE NIEŚWIADOMIE REKLAMĘ &quot;KLĄTWIE&quot;) I PRZY OKAZJI ATAKUJECIE STADNIE POLSKICH NACJONALISTÓW TWORZĄCYCH WSPÓLNY NARODOWY FRONT POLSKI PRZECIWKO WSPÓLNYM WROGOM: PASOŻYDOSTWU I LEWACTWU ?!!!","PYTANIE PUBLICZNE DO MW I ONR: CHŁOPCY Z MW I ONR CZY PRZED BAZAMI OBCYCH WOJSK W POLSCE ORAZ W SĄDACH W SPRAWACH MIĘDLARA I RYBAKA TEŻ BĘDZIECIE TACY BOJOWI, LICZNI I AKTYWNI JAK WTEDY KIEDY LANSUJECIE SIĘ POD TEATREM POWSZECHNYM (ROBIĄC BYĆ MOŻE NIEŚWIADOMIE REKLAMĘ ""KLĄTWIE"") I PRZY OKAZJI ATAKUJECIE STADNIE POLSKICH NACJONALISTÓW TWORZĄCYCH WSPÓLNY NARODOWY FRONT POLSKI PRZECIWKO WSPÓLNYM WROGOM: PASOŻYDOSTWU I LEWACTWU ?!!!","TRUE","none","1",2017-05-30 09:00:03,2017-05-30 09:00:03
"5","migration","pl","UC_ntaIWaLOutp-eUhcDrp8A","Karol Kowalski","https://yt3.ggpht.com/-tSwdrWFW72M/AAAAAAAAAAI/AAAAAAAAAAA/bKePSLqWYQ0/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UCzBz38u14DYVnEd0-UiZugA","UCzBz38u14DYVnEd0-UiZugA","UC_ntaIWaLOutp-eUhcDrp8A","CWP. Wielki Szacunek dla was.","CWP. Wielki Szacunek dla was.","TRUE","none","1",2017-05-15 17:07:12,2017-05-15 17:07:12
"6","migration","pl","UC_ntaIWaLOutp-eUhcDrp8A","Ekstrim","https://yt3.ggpht.com/-kOjI6sRsXok/AAAAAAAAAAI/AAAAAAAAAAA/2EEbk6fBIxg/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UCj18C4o_UE81IHiLpUonkdQ","UCj18C4o_UE81IHiLpUonkdQ","UC_ntaIWaLOutp-eUhcDrp8A","Chuj wam w dupsko","Chuj wam w dupsko","TRUE","none","0",2017-05-13 12:21:16,2017-05-13 12:21:16
"7","migration","pl","UC_ntaIWaLOutp-eUhcDrp8A","georgiors sr","https://yt3.ggpht.com/-_g-wkgBSevw/AAAAAAAAAAI/AAAAAAAAAAA/Y_eqFeIXMOk/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UCWBv514L3ypvo2AitziH9cw","UCWBv514L3ypvo2AitziH9cw","UC_ntaIWaLOutp-eUhcDrp8A","ROBICIE KAWAŁ DOBREJ ROBOTY","ROBICIE KAWAŁ DOBREJ ROBOTY","TRUE","none","4",2017-03-25 21:46:21,2017-03-25 21:46:21
"8","migration","pl","UC_ntaIWaLOutp-eUhcDrp8A","Dariusz Piszczek","https://yt3.ggpht.com/-4Cak_yeUmcg/AAAAAAAAAAI/AAAAAAAAAAA/pGKsfWSSmF4/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UCKyfIX_OH6kcZt7OWc-wKUg","UCKyfIX_OH6kcZt7OWc-wKUg","UC_ntaIWaLOutp-eUhcDrp8A","Apeluje o konsolidacje srodowisk Narodowych !!! Bez znaczenia kto będzie na czele-aby nie miał wysokie Ego !!! Ida Ciezke,Decydujace Czasy dla Naszej Ojczyzny !!! Zrobicie jak zechcecie-nic na sile !!! CWP-a nigdzie nie naleze -Pozdrawiam","Apeluje o konsolidacje srodowisk Narodowych !!! Bez znaczenia kto będzie na czele-aby nie miał wysokie Ego !!! Ida Ciezke,Decydujace Czasy dla Naszej Ojczyzny !!! Zrobicie jak zechcecie-nic na sile !!! CWP-a nigdzie nie naleze -Pozdrawiam","TRUE","none","2",2017-01-03 23:27:03,2017-01-03 23:27:03
"9","migration","pl","UC_ntaIWaLOutp-eUhcDrp8A","kadykianus","https://yt3.ggpht.com/-Nvk60XrwaZE/AAAAAAAAAAI/AAAAAAAAAAA/-0mPsS3K-AA/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UCsFK_N0TS3ctkY9noXVSe5g","UCsFK_N0TS3ctkY9noXVSe5g","UC_ntaIWaLOutp-eUhcDrp8A","Uważam, że jest to bardzo sympatyczny portal i cieszę się, że mogę zamieścić tu pierwszy komentarz, aby nie było tak pusto wszędzie i głucho wszędzie.","Uważam, że jest to bardzo sympatyczny portal i cieszę się, że mogę zamieścić tu pierwszy komentarz, aby nie było tak pusto wszędzie i głucho wszędzie.","TRUE","none","2",2016-10-29 15:02:28,2016-10-29 15:02:28
"10","migration","at","UC_MNgEkOK_crUltwOlTiCCA","ThomasAir","https://yt3.ggpht.com/-c2HhsrclCQc/AAAAAAAAAAI/AAAAAAAAAAA/QPFF5i1TkUo/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UCfdLkkEnxUV4eMBDiEEgk2g","UCfdLkkEnxUV4eMBDiEEgk2g","UC_MNgEkOK_crUltwOlTiCCA","GEZ finanziert?","GEZ finanziert?","TRUE","none","0",2016-12-11 11:41:08,2016-12-11 11:41:08
"11","environment","pl","UCGR4Cw5TZ8ixXRH1Yb3CgZQ","KWPBydgoszcz","https://yt3.ggpht.com/-WvSkauVm1c0/AAAAAAAAAAI/AAAAAAAAAAA/QN-VQKd78YQ/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UCccjFOYmKJr9LWWas_zuc4A","UCccjFOYmKJr9LWWas_zuc4A","UCGR4Cw5TZ8ixXRH1Yb3CgZQ","Projekty popieramy, a filmy umieszczamy na naszej stronie!","Projekty popieramy, a filmy umieszczamy na naszej stronie!","TRUE","none","0",2010-06-25 08:59:39,2010-06-25 08:59:39
