Id,Label,Timestamp,Size
0,ohn,2014-01-01,7.0
1,österreich,2014-01-01,6.0
2,mehr,2014-01-01,5.0
3,facebook,2014-02-01,6.0
4,eu,2014-02-01,6.0
5,neue,2014-02-01,5.0
6,märz,2014-03-01,4.0
7,dass,2014-04-01,6.0
8,europa,2014-04-01,5.0
9,geht,2014-05-01,6.0
10,medien,2014-05-01,5.0
11,netzwerk,2014-06-01,8.0
12,staat,2014-06-01,5.0
13,us,2014-07-01,10.0
14,gibt,2014-07-01,4.0
15,prammer,2014-08-01,4.0
16,wichtig,2014-08-01,3.0
17,immer,2014-08-01,3.0
18,us-bürger,2014-11-01,4.0
19,al,2014-11-01,4.0
20,menschen,2015-01-01,7.0
21,macht,2015-01-01,6.0
22,orbán,2015-02-01,4.0
23,spö,2015-02-01,4.0
24,sollen,2015-03-01,4.0
25,schon,2015-03-01,4.0
26,beim,2015-06-01,5.0
27,griechisch,2015-07-01,4.0
28,griechenland,2015-07-01,4.0
29,ungleichheit,2015-08-01,5.0
30,han,2015-08-01,5.0
31,flüchtling,2015-09-01,6.0
32,wien,2015-09-01,6.0
33,leben,2015-11-01,5.0
34,kritik,2015-12-01,6.0
35,millionen,2015-12-01,5.0
36,erst,2016-03-01,5.0
37,sieht,2016-07-01,5.0
38,wiener,2016-07-01,5.0
39,trump,2016-11-01,8.0
40,chef,2017-01-01,7.0
41,eu-bürger,2017-03-01,9.0
42,parlament,2017-04-01,7.0
43,wegen,2017-07-01,4.0
44,direkt,2017-11-01,7.0
45,politik,2017-12-01,9.0
